bird ID,Fruits_pcbiomass,Infructescence_pcbiomass,Catkins_pcbiomass,Leaves_pcbiomass,Dry oct leaf_pcbiomass,BC-index,Standardized BC-index
LM-12-022,47.29185609,1.039095986,2.045720223,28.97778932,27.51006624,-6.505950928,-0.154057525
LM-12-023,28.5454958,1.304742455,2.575448151,60.19968232,59.98411618,-32.96115112,-1.172119662
LM-12-025,1.587952054,0,0,14.26083393,0.809343305,-27.69049072,-0.969291494
LM-12-028,16.38760988,0.683689131,1.667364309,39.1656202,25.91739919,21.55511475,0.925802324
LM-12-029,28.1535649,0,0,2.401529001,0,-39.62463379,-1.428547108
LM-12-030,16.92787396,1.099532289,0.738491836,27.15188315,26.41339132,-20.58068848,-0.695688557
LM-12-032,0,0,0,100,89.38992042,24.15777588,1.025959221
LM-12-035,0,0,0,100,100,15.20526123,0.681444111
LM-12-036,12.75385865,0,0,83.17279796,82.25600557,12.65332031,0.583239055
LM-12-040,0,0,0,1.164493411,0,26.06378174,1.099307084
LM-12-042,17.67049291,10.12829169,0,43.27481431,32.50506415,34.04711914,1.406525834
LM-12-045,72.78065317,15.03980145,3.271890796,1.118375253,0.708253882,12.71707153,0.585692361
LM-12-048,25.83529202,14.6886436,0.901490583,22.10288298,21.70271637,55.63851929,2.237416805
LM-12-050,14.09188892,69.95646477,3.250348705,1.344097384,1.149668202,0.252868652,0.106038723
LM-12-051,29.6160229,17.54310399,3.38751156,32.87685116,32.34098078,-7.638763428,-0.197650978
LM-12-053,8.82206157,1.939228016,0,42.19246838,42.01423051,-35.6937561,-1.277277123
LM-12-054,20.18514132,1.262824134,3.278240429,37.27517904,36.41598484,29.48291016,1.23088368
LM-12-055,17.22312976,0.913268182,10.04021819,36.38552145,36.2871254,-22.69085693,-0.776893107
LM-12-056,0.717017208,73.18355641,1.845124283,9.875717017,9.875717017,-11.43322754,-0.343671428
LM-12-057,17.13555682,9.483813096,0,16.92897333,16.86645465,-1.619689941,0.033977994
LM-12-059,0,6.573705179,22.31075697,1.752988048,0,22.26513672,0.953125742
LM-12-060,47.61565836,2.526690391,0,0.213523132,0,-6.086242676,-0.137906104
LM-12-061,18.19118924,43.15863715,0,4.983181424,4.91265191,17.70812988,0.777760744
LM-12-062,10.86509778,74.22605237,0,12.35664567,12.31687106,38.42434692,1.574972485
LM-12-064,33.67080745,25.72670807,0,22.62732919,21.94409938,36.01519775,1.482262411
LM-12-066,22.85970011,1.172045386,18.27008593,7.285488503,4.53636513,44.33129883,1.802286738
LM-12-067,37.57100006,2.06777714,2.252855958,0.453124003,0,54.80773926,2.205446316
LM-12-069,0,0,0,0,0,-9.189788818,-0.257338306
LM-12-070,0,0,0,52.29156509,51.36518771,21.55834961,0.92592681
LM-12-071,72.56844759,0,0.32560745,1.42497024,0.469154821,4.494506836,0.269267547
LM-12-072,8.663501917,0,0,86.36114661,84.65400767,34.34606934,1.418030184
LM-12-075,20.59139785,0.053763441,0,47.47311828,47.47311828,6.357177734,0.340947773
LM-12-079,70.74057987,0,0,29.25942013,29.25942013,21.29949951,0.915965612
LM-12-082,22.1652701,30.56694598,12.30165805,1.016223926,0.864681761,5.638702393,0.313299048
LM-12-083,0.841624207,78.99345719,0,4.785761932,4.700606026,-18.12503052,-0.60118871
LM-12-086,6.358129127,76.0887955,0.439338536,1.73825247,1.690498281,-15.04058838,-0.482491677
LM-12-088,17.27427422,0.948795957,54.30309906,14.81978033,12.40653844,-0.03125,0.095105128
LM-12-089,84.83547926,0,15.16452074,0,0,1.700622559,0.161751907
LM-12-090,36.44341335,0,0,10.61125681,9.562235223,33.70889282,1.393510041
LM-12-105,0,8.092858294,0,22.53748186,21.94099629,12.35092163,0.571601999
LM-12-106,50.65649687,2.601470989,0,6.169980932,5.578861346,13.8838501,0.630592912
LM-12-131,19.52305837,20.40456528,0,4.194117101,0,-52.84130859,-1.937157744
LM-12-132,17.37833179,0,38.63545949,40.35273836,5.39053176,-0.27947998,0.085552619
LM-12-134,74.66216216,11.82432432,0,12.16216216,12.16216216,-19.06906128,-0.63751737
LM-12-141,0,28.88243832,1.261583119,15.97633136,0,-2.117553711,0.014818953
LM-12-144,0,0,71.35291286,21.81030332,0,13.24084473,0.605848461
LM-12-146,0,0,0,46.58008658,0,11.51062012,0.539265099
LM-12-162,2.408419348,2.408419348,2.408419348,55.4948391,0,46.70077515,1.893470101
LM-12-170,19.83894583,0,0,10.54172767,3.733528551,-20.9085083,-0.708303882
LM-12-171,10.83925014,0,22.13311539,67.02763447,45.56367166,-16.64129639,-0.544090917
LM-12-172,15.65377532,0.699815838,0,1.767955801,0.331491713,24.92816162,1.055605587
LM-12-173,0,0,0,74.88284911,74.88284911,-5.467193604,-0.114083551
LM-12-176,64.67065868,0,0,0,0,22.28399658,0.953851516
LM-12-192,1.986429344,1.189890845,11.10236995,2.841970695,0.462189006,3.225891113,0.220448048
LM-12-193,11.92359475,31.6139347,9.12150791,21.32699428,20.46869741,30.1836853,1.257851257
LM-12-196,38.18774282,1.090362201,4.749968668,18.40456198,18.16017045,17.04129028,0.752099092
LM-12-197,32.02373798,0.217848558,0.908954327,3.891225962,2.388822115,33.7355957,1.394537635
LM-12-198,70.790463,1.450583696,2.246982588,1.340522359,0.625741987,17.77130127,0.780191737
LM-12-199,34.19786023,3.211034407,6.600841607,21.15157183,20.89028851,21.86071777,0.937562691
LM-12-200,31.948442,10.84501314,0.549055187,17.08015267,16.59053936,-1.313903809,0.045745408
LM-12-217,0,0,0,1.844317874,0.081366965,30.04977417,1.252698022
LM-12-221,15.51083591,0,0,33.09597523,33.09597523,-22.95471191,-0.787046905
LM-12-222,0,0,5.608283003,67.90336497,67.90336497,28.82424927,1.205536765
LM-12-374,39.51469718,0,0,13.68448741,0,16.34835815,0.725433334
LM-12-375,0,0,5.288308378,14.17648933,0,13.52111816,0.616634082
LM-12-397,0,0,0,2.809243317,0,16.28045654,0.722820311
LM-12-398,0,0,0,2.872628726,0,14.14654541,0.640702084
LM-12-401,12.29183188,4.480570975,0,73.55273592,73.55273592,18.42489624,0.805343703
LM-12-403,20.29109589,0,0,79.70890411,79.70890411,21.97494507,0.941958443
LM-13-001,9.821249247,0,0.84354288,47.39907612,0,5.498504639,-0.115052972
LM-13-006,0,0,1.471518987,39.71518987,0,17.33596802,0.335096813
LM-13-007,58.06507293,2.002243894,4.021748511,10.73616985,10.22697851,30.02334595,0.817566769
LM-13-009,96.2452678,0,0,0,0,61.0737915,1.998339281
LM-13-011,4.589114194,81.10992529,8.03094984,0,0,-25.97689819,-1.31198557
LM-13-017,53.46639239,7.266359037,2.118196475,32.16767666,31.99532996,32.52844238,0.91282946
LM-13-018,39.62314939,3.068640646,0,57.30820996,57.30820996,-0.131286621,-0.329140166
LM-13-022,20.76634931,22.01498361,0.678944904,44.11581083,43.60855314,-0.018066406,-0.324834678
LM-13-024,20.05304537,77.95775315,1.169839917,0.336269774,0,-4.010009766,-0.476638522
LM-13-025,61.86646635,24.17480447,0,2.222614997,0,26.74664307,0.692961771
LM-13-027,0,0.594906116,0,40.41643428,8.328685629,22.51062012,0.531876178
LM-13-028,0,0.383263121,0,53.40977479,41.42725919,-0.224182129,-0.332672755
LM-13-029,12.1448468,57.46120175,2.427377636,12.39952248,0,-16.62710571,-0.956435827
LM-13-030,92.4512987,5.742694805,0,0.872564935,0.872564935,23.37179565,0.564624577
LM-13-036,49.8891493,5.827579654,0.715778805,38.04396022,36.91011592,-31.06173706,-1.505349558
LM-13-037,2.722950583,2.98227921,2.766172021,86.22676848,47.38510301,41.01196289,1.235436999
LM-13-039,67.82700422,4.720464135,0,26.9778481,26.3185654,-1.453430176,-0.379418052
LM-13-051,42.16025415,22.51323685,0,18.32686198,18.2633251,8.56048584,0.001386685
LM-13-054,2.790880503,0,0,74.76415094,0,-0.762145996,-0.353130205
LM-13-055,28.17689423,0,0,0.797571573,0,15.17675781,0.252987329
LM-13-057,0.289261179,78.32951669,10.63034832,0.530312161,0,-2.212097168,-0.408268303
LM-13-063,55.90868397,29.31960609,0,1.656222023,0,21.31243896,0.486312278
LM-13-064,9.466882068,0.947765213,0,77.80290792,0,10.79043579,0.086186229
LM-13-069,41.81345654,12.09933584,4.302627779,29.30984695,27.89488882,-1.853363037,-0.394626521
LM-13-070,0.518543569,0.011272686,0,6.199977455,1.657084883,34.35540771,0.982304484
LM-13-075,26.94266589,23.19800155,1.176270858,39.30199845,32.19101669,89.03625488,3.061683383
LM-13-077,4.785283161,48.71920755,4.560025414,15.00851936,12.72128686,37.74874878,1.111344947
LM-13-084,25.76587243,2.693503034,0,2.885896108,0.621577623,-0.140075684,-0.329474393
LM-13-086,54.53863466,0,0,23.35583896,10.55263816,-23.74737549,-1.227202274
LM-13-091,9.989258861,51.38867577,4.204388522,28.06506061,27.68912076,12.89697266,0.166292674
LM-13-092,0,0.526615428,0,12.85226302,12.76686593,-3.043121338,-0.43987012
LM-13-098,0,68.45714286,0,29.42857143,28.8,-8.202087402,-0.636052983
LM-13-099,46.00202429,27.64844804,16.04251012,9.446693657,4.875168691,31.36682129,0.868655851
LM-13-100,99.8882795,0,0,0.111720496,0,39.55273438,1.179946107
LM-13-108,67.63348207,0.007693491,0,32.01261733,31.4202185,16.03900146,0.285776346
LM-13-109,37.08669469,0.863538234,0,50.68742188,50.1874787,12.89102173,0.166066375
