"","Notes","BirdID","Phase","CollYear","CollMonth","CollDay","Sex","Age","WeightNE","DigestivTrLength..SI.LI.2xceca.","Gut...rectum..SI.","Caecum","ceca.weight","ceca.Gut.length","SI.weight","SeqRun","richness","shannon","simp.even"
"244","1","LM-10-122","early",2010,10,2,"M","J",486.63,172,88,36,7.4,20.93,18.08355424,2,266,3.7611153074771,0.0788188925641234
"245",NA,"LM-10-065","early",2010,10,3,"F","J",412,166,81,37,8.98,22.29,19.66019417,2,251,3.91379774832478,0.126594217161169
"246",NA,"LM-10-199","early",2010,10,3,"F","J",439.95,173,82,40,9.09,23.12,18.63848165,2,261,3.57196802891587,0.0630063679577104
"247","3","LM-10-270","early",2010,10,5,"M","J",500.55,178,88,39,7.79,21.91,17.58066127,2,257,3.73493918349491,0.078461885111877
"248",NA,"LM-10-271","early",2010,10,5,"M","A",497.33,150,78,31,6.23,20.67,15.68375123,2,215,3.35769924144953,0.064318104550445
"250",NA,"LM-10-257","early",2010,10,5,"F","J",463.08,193,89,46,9.93,23.83,19.2191414,2,207,2.95503738418028,0.0435554551267165
"251",NA,"LM-10-259","early",2010,10,5,"M","J",490.58,185,93,40,8.15,21.62,18.95715276,2,228,3.45935773010594,0.0640491209715293
"253",NA,"LM-10-024","early",2010,10,1,"M","J",519.27,194,94,44,8.47,22.68,18.10233597,2,239,3.01845226547181,0.0381898216369352
"254","1","LM-07-020","early",2007,10,2,"M","J",502,184,NA,42.5,8.47,23.1,NA,2,229,2.76341207136765,0.032744449162254
"255","1","LM-07-094","early",2007,10,3,"F","J",414.78,169,NA,37,8.92,21.89,NA,2,282,3.86729341939034,0.0911442974967984
"256",NA,"LM-10-200","early",2010,10,3,"M","A",482.94,170,86,36,7.45,21.18,17.80759515,2,308,3.92292034050556,0.0585882671899224
"258",NA,"LM-10-093","early",2010,10,3,"M","J",540.42,184,88,42,7.77,22.83,16.28363125,2,245,2.93351727486993,0.029276458183203
"259","1","LM-10-211","early",2010,10,4,"F","J",440,172,85,39,8.86,22.67,19.31818182,2,231,3.03832043891907,0.0428084261366211
"261","2","LM-10-094","early",2010,10,3,"F","J",440.13,163,83,34,7.72,20.86,18.85806466,2,245,3.92559110019927,0.124422350219993
"262","2","LM-10-099","early",2010,10,3,"F","A",508.52,169,83,37,7.28,21.89,16.32187525,2,207,3.71066024103734,0.111524578294343
"263","2","LM-10-091","early",2010,10,3,"M","J",475.94,174,86,39,8.19,22.41,18.06950456,2,226,3.10176387985845,0.0359159100034386
"264","3","LM-10-272","early",2010,10,6,"M","A",514.37,189,90,43,8.36,22.75,17.49713241,2,230,3.52224920187665,0.0703127429992148
"265","3","LM-10-051","early",2010,10,3,"M","A",540.02,174,84,38,7.04,21.84,15.55497945,2,241,3.49129020596307,0.0704551480788531
"266",NA,"LM-10-139","early",2010,10,4,"M","A",525.95,164,85,34,6.46,20.73,16.16123206,2,289,3.8349480216843,0.0738339398082112
"267","1","LM-10-053","early",2010,10,5,"F","J",450.89,177,93,36,7.98,20.34,20.62587327,2,294,3.87120195675296,0.0928120603907532
"268","1","LM-10-143","early",2010,10,4,"F","A",498,183,91,40,8.03,21.86,18.27309237,2,271,3.88142766383761,0.106394763308655
"269","1","LM-07-070","early",2007,10,4,"M","A",488.22,162,NA,37,7.58,22.84,NA,2,146,2.16913865188592,0.0311933930288253
"270","1","LM-07-016","early",2007,10,2,"M","A",522.8,166.5,NA,37.5,7.17,22.52,NA,2,222,2.68844238701256,0.0315928670794328
"272","1","LM-10-018","early",2010,10,1,"F","J",470.15,184,86,43,9.15,23.37,18.29203446,2,268,3.81600359357584,0.0864937433383791
"273","1","LM-10-079","early",2010,10,3,"M","J",465.63,188,86,45,9.66,23.94,18.46960033,2,251,3.60556195861728,0.0666768490233819
"274","1","LM-10-241","early",2010,10,4,"M","J",501,162,82,35,6.99,21.6,16.36726547,2,221,3.47805806553556,0.0856291544417307
"275","1","LM-10-001","early",2010,10,1,"M","J",397.57,176,86,40,10.06,22.73,21.63141082,2,231,3.2628736333643,0.0511084365396642
"276","2","LM-10-140","early",2010,10,4,"M","A",476.88,166,85,35,7.34,21.08,17.82419057,2,226,3.71532025641806,0.101233955454797
"277","1","LM-10-059","early",2010,10,6,"F","J",434.89,181,86,42,9.66,23.2,19.77511555,2,265,3.29925860386259,0.0433886417304064
"278","1","LM-10-119","early",2010,10,2,"M","A",522.24,156,80,32,6.13,20.51,15.31862745,2,281,4.14872301316167,0.133646488839201
"279","1","LM-10-055","early",2010,10,5,"M","J",543.76,191,92,43,7.91,22.51,16.91922907,2,273,4.13270885542925,0.149768408502776
"280","1","LM-10-027","early",2010,10,1,"F","J",458.51,187,92,42,9.16,22.46,20.06499313,2,272,3.97657220558846,0.113127507614066
"281","1","LM-07-096","early",2007,10,3,"M","J",502.64,184,NA,43,8.55,23.37,NA,2,208,2.68218275704486,0.0323751245297313
"282","1","LM-07-051","early",2007,10,2,"F","J",479,173,NA,38,7.93,21.97,NA,2,248,2.80889431931314,0.0300359480545551
"283","1","LM-07-115","early",2007,10,3,"M","A",532,181,NA,41,7.71,22.65,NA,2,261,3.05505971443326,0.03622020253043
"284","1","LM-07-027","early",2007,10,1,"F","J",472.4,180,NA,43,9.1,23.89,NA,2,280,3.5724636476516,0.056999969215925
"286","2","LM-10-045","early",2010,10,2,"M","A",583.56,190,93,42,7.2,22.11,15.93666461,2,254,3.83732243983349,0.10780183556273
"289","1","LM-07-060","early",2007,10,3,"M","A",516.38,170,NA,39,7.55,22.94,NA,2,194,2.91405004140479,0.0528918286165904
"291",NA,"LM-07-119","early",2007,10,3,"M","A",560,171.5,NA,35.5,6.34,20.7,NA,2,223,3.39763450926051,0.0693290673574989
"292","1","LM-07-004","early",2007,10,1,"F","J",462.91,174,NA,40.5,8.75,23.28,NA,2,236,2.577149452128,0.0243355370261763
"293","2","LM-07-019","early",2007,10,2,"M","J",468.24,172,NA,40,8.54,23.26,NA,2,244,3.01912959119682,0.039572072382956
"294","2","LM-07-066","early",2007,10,3,"F","J",486.33,170.5,NA,39.5,8.12,23.17,NA,2,266,2.9235303444834,0.0223678606096611
"295","2","LM-07-006","early",2007,10,1,"F","J",445.09,160,NA,35,7.86,21.88,NA,2,210,3.45107710894801,0.0874288716629337
"297","1","LM-07-054","early",2007,10,3,"M","J",511.8,185,NA,42,8.21,22.7,NA,2,286,3.67759537963266,0.0731916699210717
"298","1","LM-07-029","early",2007,10,2,"M","J",522.93,182,NA,42,8.03,23.08,NA,2,267,3.42689013565629,0.0548905612625108
"299","2","LM-07-050","early",2007,10,3,"F","A",486,170,NA,39,8.02,22.94,NA,2,222,2.39466853177829,0.019677505234229
"300","1","LM-07-089","early",2007,10,3,"M","A",495,172,NA,39,7.88,22.67,NA,2,238,2.65593848013259,0.0255641850658879
"303","1","LM-07-028","early",2007,10,1,"F","J",502.84,186,NA,41,8.15,22.04,NA,2,264,3.4254873113399,0.0597051790891435
"304","1","LM-07-025","early",2007,10,1,"F","A",477.47,172,NA,38,7.96,22.09,NA,2,194,2.18650589504074,0.023181021747342
"305","1","LM-07-044","early",2007,10,1,"M","J",536.25,187,NA,42,7.83,22.46,NA,2,175,2.16446936856705,0.0265592890119307
"306","1","LM-07-111","early",2007,10,3,"F","J",488.99,179,NA,43.5,8.9,24.3,NA,2,282,3.59517862288151,0.0603919384473266
"307","2","LM-07-047","early",2007,10,2,"F","J",447,171,NA,40,8.95,23.39,NA,2,212,2.18737995456037,0.0191984771754616
"310","1","LM-07-008","early",2007,10,2,"F","J",465.52,180.5,NA,42,9.02,23.27,NA,2,188,2.52445891494734,0.0400146645059347
"311","2","LM-07-087","early",2007,10,3,"F","J",468,176,NA,42,8.97,23.86,NA,2,292,3.77357671340328,0.0755625496577349
"312","2","LM-07-018","early",2007,10,1,"M","J",495.72,180,NA,41.5,8.37,23.06,NA,2,268,3.84025167615757,0.0986923996839568
"313","2","LM-07-118","early",2007,10,3,"M","J",499.6,186,NA,44.5,8.91,23.92,NA,2,230,2.42541336306939,0.0219028896700046
"314","1","LM-07-010","early",2007,10,2,"F","J",455.83,186,NA,46.5,10.2,25,NA,2,206,2.17066558107535,0.0168021282785224
"315","1","LM-07-092","early",2007,10,3,"M","J",549.18,164,NA,35.5,6.46,21.65,NA,2,262,3.23602898539916,0.0506813717621618
"319","1","LM-07-013","early",2007,10,1,"M","A",515.44,167,NA,37,7.18,22.16,NA,2,182,2.95466095141684,0.0618315547408593
"320","3","LM-07-142","early",2007,10,4,"F","J",490.54,184,NA,43.5,8.87,23.64,NA,2,269,3.4416545562444,0.0635570450683499
"322","1","LM-07-091","early",2007,10,3,"M","J",510,166,NA,39.5,7.75,23.8,NA,2,214,2.61826843254711,0.0359145202621569
"325","1","LM-07-032","early",2007,10,1,"M","J",457,177,NA,41.5,9.08,23.45,NA,2,230,2.35186706703666,0.0190549672550805
"326","1","LM-07-012","early",2007,10,2,"F","A",453,159,NA,36,7.95,22.64,NA,2,264,3.15712497337458,0.02949719891641
"327","1","LM-07-041","early",2007,10,1,"F","A",472.48,178,NA,40,8.47,22.47,NA,2,220,2.46360769959079,0.0235535074880489
"328",NA,"LM-07-036","early",2007,10,1,"M","A",553,180,NA,41,7.41,22.78,NA,2,154,2.31006256189407,0.03898731534922
"329","1","LM-07-042","early",2007,10,1,"F","A",462.37,164,NA,36,7.79,21.95,NA,2,230,2.56555204221954,0.0295399696702485
"331","1","LM-07-001","early",2007,10,1,"F","J",399,179,NA,42,10.53,23.46,NA,2,175,2.25624824316284,0.029221137852468
"332","1","LM-07-095","early",2007,10,3,"M","J",469.94,188,NA,46,9.79,24.47,NA,2,201,2.90556816427961,0.0335307225206912
"333","1","LM-07-109","early",2007,10,3,"F","J",465.18,179,NA,41,8.81,22.91,NA,2,204,2.5536422950621,0.0293636788273239
"334","1","LM-07-009","early",2007,10,2,"M","J",525.76,173,NA,41,7.8,23.7,NA,2,225,2.27394950837063,0.0170810038070901
"335","1","LM-07-103","early",2007,10,3,"M","A",545.77,175,NA,38,6.96,21.71,NA,2,212,3.05834807299994,0.0501168324326452
"336","3","LM-07-108","early",2007,10,3,"M","J",497.32,186,NA,43,8.65,23.12,NA,2,296,3.96986219209315,0.106339167022907
"337","2","LM-07-106","early",2007,10,3,"M","J",567.71,187,NA,44,7.75,23.53,NA,2,292,3.2028862586796,0.0448879056473886
"338","2","LM-07-121","early",2007,10,3,"F","J",469,172,NA,38.5,8.21,22.38,NA,2,280,3.07289788449386,0.0325776611073863
"339","1","LM-07-145","early",2007,10,4,"M","J",512,178,NA,40,7.81,22.47,NA,2,226,2.56200362508802,0.0253980271939545
"342","1","LM-07-071","early",2007,10,3,"M","J",469,173,NA,40,8.53,23.12,NA,2,238,2.8570478608678,0.031369500769208
"343","2","LM-07-073","early",2007,10,3,"F","J",472.71,183,NA,41.5,8.78,22.68,NA,2,256,2.93918157006659,0.0323482850764986
"345","1","LM-07-125","early",2007,10,4,"M","A",522,173,NA,38.5,7.38,22.25,NA,2,193,2.49832685608554,0.0312915233981029
"346","1","LM-07-069","early",2007,10,3,"M","J",491,172,NA,40.5,8.25,23.55,NA,2,142,1.66610093116509,0.0178092245469673
"349","1","LM-07-024","early",2007,10,1,"F","J",489.34,183,NA,45,9.2,24.59,NA,3,312,3.48355310870337,0.0489992313332906
"350",NA,"LM-07-043","early",2007,10,1,"F","J",449.34,182,NA,41,9.12,22.53,NA,2,236,3.39791205881472,0.0542942349835095
"351","1","LM-07-085","early",2007,10,3,"M","J",517,194,NA,47,9.09,24.23,NA,2,250,3.23439013277126,0.046060882562933
"352","2","LM-07-040","early",2007,10,2,"F","J",471,186,NA,45,9.55,24.19,NA,2,227,2.44664500322832,0.023279635866002
"353","3","LM-07-099","early",2007,10,3,"F","J",471,181,NA,41.5,8.81,22.93,NA,2,295,3.92918976802017,0.083232326629497
"354","2","LM-07-146","early",2007,10,4,"M","A",510.16,158,NA,33.5,6.57,21.2,NA,3,344,3.9094945514893,0.0733531844686108
"355","1","LM-07-061","early",2007,10,2,"M","J",506.14,191,NA,44.5,8.79,23.3,NA,2,204,2.21356280486336,0.0257748476805476
"356","1","LM-07-062","early",2007,10,2,"M","A",525,190,NA,44,8.38,23.16,NA,2,283,3.51512949766895,0.0434225924046481
"358","1","LM-07-110","early",2007,10,3,"M","J",445.38,167,NA,38.5,8.64,23.05,NA,3,320,3.43087393035054,0.0507071067501029
"359","2","LM-07-056","early",2007,10,3,"F","J",486.38,183,NA,42,8.64,22.95,NA,3,277,3.39261903766075,0.0505402693341877
"360","1","LM-07-002","early",2007,10,1,"F","J",419,163,NA,37,8.83,22.7,NA,3,244,2.36994498238041,0.0184284997407679
"361","3","LM-07-052","early",2007,10,2,"M","J",487.61,186,NA,44,9.02,23.66,NA,3,267,3.61991416600733,0.0709947509526639
"362","1","LM-07-045","early",2007,10,1,"M","J",528.83,176,NA,38,7.19,21.59,NA,3,291,3.74003900450497,0.085432561085238
"363","1","LM-07-005","early",2007,10,1,"F","J",452.14,170,NA,40,8.85,23.53,NA,3,233,2.07554695799098,0.0126060081224364
"364","1","LM-11-191","early",2011,10,2,"F","A",467,189,91.5,43,9.21,22.75,19.59314775,3,307,3.73173034891385,0.0700268832050185
"365","1","LM-07-021","early",2007,10,2,"M","J",513.21,193,NA,45.5,8.87,23.58,NA,3,286,3.53740858455029,0.0442744629115653
"366","1","LM-07-003","early",2007,10,1,"F","J",457.96,156,NA,34.5,7.53,22.12,NA,3,281,3.48534425127089,0.069318176605421
"367","2","LM-11-171","early",2011,10,2,"F","A",479.94,175.5,86.5,39,8.13,22.22,18.02308622,3,298,3.92404224592267,0.0930174167404738
"368","1","LM-11-175","early",2011,10,2,"F","A",482.55,169.8,80,39.5,8.19,23.26,16.57859289,3,276,3.36234256517099,0.0316972076164434
"369","1","LM-11-148","early",2011,10,2,"M","A",501.12,174.5,88.3,37.5,7.48,21.49,17.62053001,3,282,3.84634213244034,0.0920939941258146
"370","1","LM-11-138","early",2011,10,5,"M","J",510.49,210,94.5,52,10.19,24.76,18.51162608,3,230,3.07381203073119,0.0411763757061396
"371","1","LM-11-137","early",2011,10,5,"M","J",529.95,207,97.5,49,9.25,23.67,18.39796207,3,344,3.90833715958506,0.082841119695477
"372","1","LM-11-135","early",2011,10,5,"M","A",552.18,181.5,92,39,7.06,21.49,16.66123366,3,243,2.79123466675624,0.0299449729843873
"373","1","LM-11-142","early",2011,10,2,"M","J",485,186,92,41,8.45,22.04,18.96907216,3,305,3.5258370982286,0.0472471868157098
"374","2","LM-11-084","early",2011,10,1,"F","J",484,186.1,92.6,41,8.47,22.03,19.1322314,3,282,3.63128266915886,0.0687564878592664
"375","1","LM-11-169","early",2011,10,2,"F","A",454.87,176,88,38,8.35,21.59,19.34618682,3,268,3.72308397238284,0.0818883915058971
"376","1","LM-11-131","early",2011,10,4,"M","A",505.07,180,91,39,7.72,21.67,18.01730453,3,236,2.28216549579642,0.0205984720554634
"377","1","LM-11-132","early",2011,10,4,"F","A",442,198,96,45,10.18,22.73,21.71945701,3,263,2.74515189986166,0.0288758486084891
"378","2","LM-11-120","early",2011,10,2,"F","A",505.27,176,85.5,40,7.92,22.73,16.92164585,3,255,2.73345936932142,0.0198640357673877
"379","2","LM-11-133","early",2011,10,4,"M","A",529,190.5,97,40,7.56,21,18.33648393,3,294,3.7703766543959,0.0679931185602455
"380","1","LM-11-086","early",2011,10,1,"F","J",422.28,193.5,90,46,10.89,23.77,21.31287298,3,236,2.85104692738793,0.0409050776943812
"381","2","LM-11-101","early",2011,10,4,"F","A",478.84,195,95,44,9.19,22.56,19.8396124,6,143,2.13486529397586,0.0327080155379417
"382","1","LM-11-104","early",2011,10,5,"M","A",552.58,173.5,90,34,6.15,19.6,16.28723443,3,291,3.3420516246869,0.0439128248094236
"383","2","LM-11-126","early",2011,10,3,"F","A",500.78,173,91,35.5,7.09,20.52,18.17165222,3,295,3.77692771440542,0.0672407834530989
"384","2","LM-11-145","early",2011,10,2,"M","A",530.03,177.4,91.6,36.8,6.94,20.74,17.28204064,3,287,3.00462124419989,0.0227528377848004
"385","2","LM-11-143","early",2011,10,1,"F","J",477.55,183.8,89.5,41,8.59,22.31,18.74149304,3,217,3.23342789182925,0.0679265871987041
"386","2","LM-11-116","early",2011,10,2,"M","J",480.25,189.5,95,41,8.54,21.64,19.78136387,3,278,3.27148656561395,0.0455412706683321
"387","1","LM-11-147","early",2011,10,2,"M","A",513.47,188,92,42.5,8.28,22.61,17.91730773,6,192,2.6464479110691,0.0310262805289304
"388","1","LM-11-190","early",2011,10,2,"F","A",484.18,194.5,94,44.5,9.19,22.88,19.41426742,3,271,3.63868695056381,0.0797904032984923
"389","2","LM-11-163","early",2011,10,2,"M","J",518.25,189.3,98,39.9,7.7,21.08,18.90979257,3,304,3.44339535963006,0.0481211036149896
"390","1","LM-11-014","early",2011,10,2,"F","J",389.12,175,86,39,10.02,22.29,22.10115132,3,300,3.33383097182167,0.0399090058843399
"391","2","LM-11-089","early",2011,10,2,"F","J",439.89,195,94,45,10.23,23.08,21.36897861,3,281,3.16655755613218,0.0312541861905449
"392","2","LM-11-128","early",2011,10,3,"F","J",455.46,188.5,89,44,9.66,23.34,19.54068414,3,291,3.48284850071672,0.0467307558360453
"393","2","LM-11-092","early",2011,10,2,"F","J",462.91,197.5,98,44,9.51,22.28,21.1704219,3,319,3.84315558211869,0.0769798895613935
"394","1","LM-11-093","early",2011,10,2,"M","J",444.66,202.5,101,45,10.12,22.22,22.71398372,3,274,3.7503207547009,0.0926363651272384
"395","1","LM-11-097","early",2011,10,3,"M","J",523.41,196,98,44,8.41,22.45,18.72337174,3,186,2.10866686865178,0.0211290423484468
"396","1","LM-11-033","early",2011,10,3,"M","A",480.11,174.5,88,37.5,7.81,21.49,18.32913291,3,274,2.75050876578971,0.023222027604828
"397","1","LM-11-155","early",2011,10,5,"F","A",495.9,185.5,92,41,8.27,22.1,18.55212745,3,296,3.89653078091277,0.0991437060980905
"398","1","LM-11-119","early",2011,10,2,"F","J",476.23,187.5,94,41,8.61,21.87,19.73836172,3,267,2.99282115871162,0.026060683333703
"399","1","LM-11-001","early",2011,10,1,"M","J",492.35,183.5,92,40,8.12,21.8,18.68589418,3,263,3.62536741430912,0.0710281827296683
"401","1","LM-11-030","early",2011,10,3,"F","J",410.29,184.5,86,44,10.72,23.85,20.96078384,3,198,2.2371996113582,0.0225172148063381
"402","1","LM-11-003","early",2011,10,1,"M","A",535.11,197,91,47,8.78,23.86,17.00584926,3,296,3.92344404188276,0.0956664225307161
"403","1","LM-11-043","early",2011,10,3,"F","J",447.12,182,91,40.5,9.06,22.25,20.35247808,3,308,3.85224805986747,0.0877874862491896
"404","1","LM-11-026","early",2011,10,2,"M","A",493.2,187.5,92,42,8.52,22.4,18.65369019,3,290,3.24035589759723,0.0384741621044954
"405","1","LM-11-115","early",2011,10,1,"M","J",498.32,186.5,92,41,8.23,21.98,18.46203243,3,323,3.38536470506355,0.0240865789150738
"406","2","LM-11-040","early",2011,10,3,"M","J",507.96,184.5,89,42,8.27,22.76,17.52106465,3,301,3.9908455196092,0.0942069773225693
"408","2","LM-11-117","early",2011,10,2,"M","A",515.27,176.5,91,37,7.18,20.96,17.66064393,3,295,3.38106266626429,0.037713500830554
"409","2","LM-11-100","early",2011,10,4,"F","J",445,196,95,44,9.89,22.45,21.34831461,3,238,3.29570046377173,0.0640147021183876
"410","1","LM-11-088","early",2011,10,2,"F","A",458.39,158.7,83,32.1,7,20.23,18.10685224,3,281,3.89436414064617,0.108643200101592
"411","2","LM-11-177","early",2011,10,3,"M","A",512.88,178.2,94,36.5,7.12,20.48,18.32787397,3,265,3.70541592965152,0.0968188074125993
"412","1","LM-11-027","early",2011,10,3,"M","A",504,179,84,42,8.33,23.46,16.66666667,3,257,2.77683663873765,0.0272618003681808
"413","1","LM-11-031","early",2011,10,3,"F","A",483.87,197.5,94,45.5,9.4,23.04,19.42670552,3,213,2.57488884134755,0.0267162901574216
"414","1","LM-11-016","early",2011,10,2,"M","A",481.2,171.7,80.1,39.8,8.27,23.18,16.64588529,3,265,2.96576957883196,0.0252371886474035
"415","1","LM-11-042","early",2011,10,3,"F","J",445.36,195,96,44,9.88,22.56,21.55559547,3,252,3.35661573799301,0.0536802475610082
"416","2","LM-11-004","early",2011,10,1,"F","J",479.84,184.4,93,39.6,8.25,21.48,19.38146049,3,253,3.49571885563026,0.0546457572297268
"417","1","LM-11-009","early",2011,10,1,"M","A",547.66,190.5,93.5,42.5,7.76,22.31,17.07263631,3,250,3.68787917373313,0.090254056924506
"418","1","LM-11-011","early",2011,10,1,"F","A",516.53,188.5,91,42.5,8.23,22.55,17.61756336,3,265,3.8205603532349,0.0874745469272046
"419","1","LM-11-034","early",2011,10,3,"M","A",539.77,185,93,40,7.41,21.62,17.22956074,3,224,2.64853502560662,0.0256750516726595
"420","1","LM-11-130","early",2011,10,4,"M","A",509,180,88,40,7.86,22.22,17.28880157,3,317,3.84452160887735,0.0840871090938535
"421","1","LM-11-261","early",2011,10,5,"M","A",473.04,178,84,41.5,8.77,23.31,17.75748351,3,281,2.83143558457237,0.0223147666254762
"422","1","LM-11-255","early",2011,10,4,"F","J",479,201.5,96,47,9.81,23.33,20.04175365,3,195,2.39343428801817,0.025536252961278
"423","1","LM-11-260","early",2011,10,5,"M","A",528.41,170,84,37,7,21.76,15.89674684,3,245,3.6210961656096,0.0794659710778779
"424","2","LM-11-156","early",2011,10,5,"M","A",538.16,192,94.5,43,7.99,22.4,17.55983351,3,286,3.8640182129193,0.0935734076571323
"425","1","LM-11-165","early",2011,10,2,"F","A",467,198.5,92,47.5,10.17,23.93,19.70021413,3,217,2.69015272246411,0.0385450488046748
"426","1","LM-11-206","early",2011,10,4,"F","J",466.36,183,85,43,9.22,23.5,18.22626297,3,298,3.88384995488509,0.0891975150335258
"427","1","LM-11-259","early",2011,10,5,"M","J",500.51,195,93,45,8.99,23.08,18.58104733,3,282,3.29003545154157,0.0425684578323837
"428","1","LM-12-172","early",2012,10,1,"M","A",556.94,194.5,96,43,7.72,22.11,17.23704528,3,286,3.81740715613656,0.0866465225282506
"430","2","LM-11-025","early",2011,10,2,"M","J",486.83,184,92,40,8.22,21.74,18.89776719,3,280,3.90525196669074,0.104836492450906
"431","1","LM-11-022","early",2011,10,2,"M","J",520.36,191.7,100.2,40,7.69,20.87,19.25589976,4,257,3.76867746114756,0.0978413526418836
"432","1","LM-11-203","early",2011,10,4,"M","A",570.09,186.6,89,42.3,7.42,22.67,15.6115701,3,306,4.02376477117106,0.109009406083001
"433","1","LM-11-209","early",2011,10,5,"M","A",532.03,182,91,39.5,7.42,21.7,17.10429863,3,301,3.86790018534894,0.088087254123377
"434","1","LM-11-152","early",2011,10,3,"F","J",455.19,185.5,96,39,8.57,21.02,21.09009425,3,294,3.96973970055902,0.101265784678798
"435","1","LM-11-127","early",2011,10,3,"M","J",519,194,92,45,8.67,23.2,17.72639692,3,265,3.3246322929119,0.0423406084268802
"436","1","LM-11-265","early",2011,10,6,"M","J",492,209,101,48.5,9.86,23.21,20.52845528,3,294,3.72062587193486,0.0745755535801534
"437","1","LM-11-263","early",2011,10,6,"M","A",537.04,185,95,39.5,7.36,21.35,17.68955757,3,292,3.85213631658285,0.0820256102649428
"438","1","LM-11-200","early",2011,10,3,"M","J",498.46,190.5,92,43,8.63,22.57,18.45684709,3,291,3.46916883159458,0.0414780318651324
"439","1","LM-11-221","early",2011,10,6,"F","J",431.25,198.5,94,46.5,10.78,23.43,21.79710145,3,270,2.62033491109009,0.01941704136272
"440","1","LM-11-257","early",2011,10,4,"M","J",515.28,201,95,47,9.12,23.38,18.43657817,3,283,3.31272769955029,0.0359567828444807
"441","1","LM-12-083","early",2012,10,2,"F","J",459.36,191,92,43,9.36,22.51,20.02786486,3,299,3.80565616059722,0.0772970942439535
"442","1","LM-11-157","early",2011,10,6,"F","A",482.99,189.5,96,41,8.49,21.64,19.87618791,3,321,3.94065725586049,0.0845000147654888
"443","1","LM-11-181","early",2011,10,1,"M","J",499.95,195.5,94,45,9,23.02,18.80188019,3,281,3.08804053294013,0.0288117211187081
"444","1","LM-11-210","early",2011,10,5,"M","A",511.61,182.5,91,40,7.82,21.92,17.78698618,3,298,3.84101171030053,0.0875565805216216
"445","1","LM-12-197","early",2012,10,2,"F","A",519.11,198,98,44,8.48,22.22,18.87846507,3,269,3.87423628722107,0.0991889573176133
"446","2","LM-12-221","early",2012,10,5,"F","J",474.64,206,101,46,9.69,22.33,21.27928535,3,263,3.49885425091228,0.0559537827949001
"447","2","LM-12-132","early",2012,10,3,"M","J",516.04,207,103,46,8.91,22.22,19.95969305,3,258,3.03371000969589,0.0267859669612173
"448","2","LM-12-222","early",2012,10,5,"F","J",503.6,207,97,50,9.93,24.15,19.26131851,3,277,3.43556682985476,0.0486588367113586
"449","1","LM-12-131","early",2012,10,1,"M","J",407.3,195,94,45,11.05,23.08,23.07881169,3,226,2.85735888339003,0.0375637312873498
"450","1","LM-11-205","early",2011,10,4,"F","J",413.71,185,87,43,10.39,23.24,21.02922337,3,301,3.66934018539701,0.0632933235516878
"451","1","LM-11-172","early",2011,10,2,"F","J",428.94,185,90,42,9.79,22.7,20.98195552,3,291,3.38435509984245,0.0354641682408409
"452","1","LM-11-048","early",2011,10,5,"M","A",511.59,183,91,40,7.82,21.86,17.78768154,3,297,3.8600576624937,0.086663882601118
"453","1","LM-12-021","early",2012,9,30,"F","J",427.93,195,93,45,10.52,23.08,21.73252635,3,254,3.40060254522982,0.0538456322995833
"454","1","LM-11-202","early",2011,10,3,"F","A",511.7,182.6,92.5,39.3,7.68,21.52,18.07699824,3,330,3.96741382951364,0.0860750678822436
"455","1","LM-11-162","early",2011,10,1,"M","J",486.28,186.3,89,43,8.84,23.08,18.30221272,3,280,3.64244387619385,0.0675731384559988
"456","1","LM-12-398","early",2012,10,6,"M","A",527.52,199,100,44,8.34,22.11,18.95662724,3,280,3.62416925529694,0.0748140141332837
"457","2","LM-11-201","early",2011,10,3,"F","J",455.75,178,90,39,8.56,21.91,19.74766868,3,263,3.23855534508021,0.0380415272238464
"458","2","LM-12-022","early",2012,9,30,"F","J",469.16,211,102,48,10.23,22.75,21.74098389,3,302,3.59613416030062,0.0598101386432927
"459","2","LM-12-023","early",2012,9,30,"M","J",489.04,196,94,45,9.2,22.96,19.22133159,3,318,3.77014804622237,0.0615907072710569
"460","2","LM-12-162","early",2012,10,1,"M","A",549.54,203,99,46,8.37,22.66,18.01506715,3,329,3.97655791392795,0.0850482861042024
"461","2","LM-12-089","early",2012,10,5,"M","A",486.46,191,90,45,9.25,23.56,18.50100728,3,318,3.74764972988583,0.0630725874572484
"462","1","LM-12-217","early",2012,10,5,"M","A",534.78,191,91,44,8.23,23.04,17.01634317,3,266,3.59103791907902,0.0696685409245233
"463","1","LM-12-109","early",2012,10,5,"F","A",475,178,90,38,8,21.35,18.94736842,3,288,3.66169959404818,0.0688745726045555
"464","1","LM-12-105","early",2012,10,3,"F","J",484.68,194,95,44,9.08,22.68,19.6005612,3,293,3.56741473665628,0.0482151479433334
"465","1","LM-12-200","early",2012,10,2,"F","J",486.54,198,99,44,9.04,22.22,20.34776175,3,236,2.97244433075994,0.0318224402544473
"466","1","LM-12-090","early",2012,10,5,"M","A",544.68,203,98,47,8.63,23.15,17.99221561,3,281,3.81720377709232,0.0807014196084237
"468","1","LM-12-401","early",2012,10,4,"M","J",514.8,195,94,44,8.55,22.56,18.25951826,3,270,3.73971228808278,0.0745972506656635
"469","1","LM-12-403","early",2012,10,5,"F","A",494.41,181,86,41,8.29,22.65,17.39447018,3,305,3.62234804908388,0.0467800615052546
