BirdID,Wing_mm,Head_mm,SternL_mm,BodySize,GizzardEmptyFFDM,TotalFat,LDBM,Oxalat,OxalatIntens
LM-10-094,182,50.51,82.34,-2.820940251,3.62,5.13264767,103.203796,0,
LM-10-097,202,53.74,87.07,1.132331685,3.55,2.35547161,111.0229808,0,
LM-10-099,195,53.95,87.04,0.571783851,3.81,6.61477816,121.9290704,0,
LM-10-100,199,53,86.8,0.539491097,3.86,5.36818133,115.407398,0,
LM-10-102,191,51.37,83,-1.563317775,3.35,2.16370329,110.5123284,0,
LM-10-107,186,51.75,85.68,-1.314801759,4.25,6.32715539,115.519474,0,
LM-10-119,198,53.64,86.77,0.673563075,3.09,4.10922268,132.7034844,0,
LM-10-122,197,52.45,87.11,0.226557526,3.37,3.93439668,116.7781816,0,
LM-10-124,204,53.46,88.65,1.542629744,4.18,5.1418236,125.3957408,0,
LM-10-131,205,54.3,89.22,2.054376203,3.85,5.51371812,129.4977988,0,
LM-10-134,189,53.99,82.77,-0.848533975,3.44,4.79168726,105.2660052,1,2
LM-10-136,204,53.2,85.05,0.694614494,4.07,5.65166446,126.9665028,0,
LM-10-137,191,50.2,83.09,-1.965539948,3.68,6.71395096,116.2698956,0,
LM-10-139,205,53.51,89.45,1.818255476,3.9,3.96249678,127.173816,1,1
LM-10-140,199,54.31,84.33,0.493329831,3.86,4.84012107,116.3505016,1,2
LM-10-141,202,53.57,86.31,0.911877734,3.54,8.91485338,125.5107748,0,
LM-10-143,191,51.73,81.44,-1.760678234,3.52,8.61530864,122.2017284,0,
LM-10-191,189,50.7,84,-1.774838135,3.88,4.53938722,115.455904,0,
LM-10-199,192,50.97,82.77,-1.665501132,3.94,2.64672113,107.3747484,1,2
LM-10-200,198,54.35,83.84,0.315060885,3.53,7.33451877,115.6818308,0,
LM-10-202,198,53.26,87.45,0.67930657,2.99,7.57401613,116.05923,0,
LM-10-204,194,53.71,87.12,0.412196047,3.73,5.39049689,121.3819796,0,
LM-10-207,202,52.88,88.77,1.179081437,4.19,13.61182695,136.60655,0,
LM-10-208,191,52.78,83.7,-0.909161628,3.95,4.5654175,114.5292448,0,
