"","Fruits_mean","Infructescence_mean","Leaves_mean"
"4",26.0447677437692,31.4142946613654,2.49366011526923
"7",26.0447677437692,31.4142946613654,2.49366011526923
"8",26.0447677437692,31.4142946613654,2.49366011526923
"10",20.8139351552642,31.7176100925472,10.5629052010566
"11",20.8139351552642,31.7176100925472,10.5629052010566
"12",20.8139351552642,31.7176100925472,10.5629052010566
"13",20.8139351552642,31.7176100925472,10.5629052010566
"15",20.8139351552642,31.7176100925472,10.5629052010566
"18",20.8139351552642,31.7176100925472,10.5629052010566
"19",20.8139351552642,31.7176100925472,10.5629052010566
"20",20.8139351552642,31.7176100925472,10.5629052010566
"22",20.8139351552642,31.7176100925472,10.5629052010566
"23",20.8139351552642,31.7176100925472,10.5629052010566
"24",20.8139351552642,31.7176100925472,10.5629052010566
"25",20.8139351552642,31.7176100925472,10.5629052010566
"26",20.8139351552642,31.7176100925472,10.5629052010566
"28",20.8139351552642,31.7176100925472,10.5629052010566
"29",20.8139351552642,31.7176100925472,10.5629052010566
"30",20.8139351552642,31.7176100925472,10.5629052010566
"31",20.8139351552642,31.7176100925472,10.5629052010566
"32",20.8139351552642,31.7176100925472,10.5629052010566
"33",20.8139351552642,31.7176100925472,10.5629052010566
"34",20.8139351552642,31.7176100925472,10.5629052010566
"35",20.8139351552642,31.7176100925472,10.5629052010566
"36",20.8139351552642,31.7176100925472,10.5629052010566
"37",20.8139351552642,31.7176100925472,10.5629052010566
"38",20.8139351552642,31.7176100925472,10.5629052010566
"39",20.8139351552642,31.7176100925472,10.5629052010566
"41",20.8139351552642,31.7176100925472,10.5629052010566
"42",20.8139351552642,31.7176100925472,10.5629052010566
"43",20.8139351552642,31.7176100925472,10.5629052010566
"45",20.8139351552642,31.7176100925472,10.5629052010566
"46",20.8139351552642,31.7176100925472,10.5629052010566
"47",20.8139351552642,31.7176100925472,10.5629052010566
"48",20.8139351552642,31.7176100925472,10.5629052010566
"49",20.8139351552642,31.7176100925472,10.5629052010566
"50",20.8139351552642,31.7176100925472,10.5629052010566
"51",20.8139351552642,31.7176100925472,10.5629052010566
"52",20.8139351552642,31.7176100925472,10.5629052010566
"53",20.8139351552642,31.7176100925472,10.5629052010566
"55",20.8139351552642,31.7176100925472,10.5629052010566
"56",20.8139351552642,31.7176100925472,10.5629052010566
"57",20.8139351552642,31.7176100925472,10.5629052010566
"58",20.8139351552642,31.7176100925472,10.5629052010566
"59",20.8139351552642,31.7176100925472,10.5629052010566
"60",20.8139351552642,31.7176100925472,10.5629052010566
"61",20.8139351552642,31.7176100925472,10.5629052010566
"62",20.8139351552642,31.7176100925472,10.5629052010566
"63",20.8139351552642,31.7176100925472,10.5629052010566
"64",20.8139351552642,31.7176100925472,10.5629052010566
"65",20.8139351552642,31.7176100925472,10.5629052010566
"66",20.8139351552642,31.7176100925472,10.5629052010566
"67",20.8139351552642,31.7176100925472,10.5629052010566
"68",20.8139351552642,31.7176100925472,10.5629052010566
"69",20.8139351552642,31.7176100925472,10.5629052010566
"70",20.8139351552642,31.7176100925472,10.5629052010566
"71",20.8139351552642,31.7176100925472,10.5629052010566
"72",20.8139351552642,31.7176100925472,10.5629052010566
"73",20.8139351552642,31.7176100925472,10.5629052010566
"75",20.8139351552642,31.7176100925472,10.5629052010566
"76",20.8139351552642,31.7176100925472,10.5629052010566
"81",26.0447677437692,31.4142946613654,2.49366011526923
"82",20.8139351552642,31.7176100925472,10.5629052010566
"83",20.8139351552642,31.7176100925472,10.5629052010566
"84",20.8139351552642,31.7176100925472,10.5629052010566
"90",20.8139351552642,31.7176100925472,10.5629052010566
"92",20.8139351552642,31.7176100925472,10.5629052010566
"93",20.8139351552642,31.7176100925472,10.5629052010566
"94",20.8139351552642,31.7176100925472,10.5629052010566
"95",20.8139351552642,31.7176100925472,10.5629052010566
"97",26.0447677437692,31.4142946613654,2.49366011526923
"99",26.0447677437692,31.4142946613654,2.49366011526923
"100",26.0447677437692,31.4142946613654,2.49366011526923
"103",26.0447677437692,31.4142946613654,2.49366011526923
"104",26.0447677437692,31.4142946613654,2.49366011526923
"105",26.0447677437692,31.4142946613654,2.49366011526923
"106",26.0447677437692,31.4142946613654,2.49366011526923
"107",26.0447677437692,31.4142946613654,2.49366011526923
"108",26.0447677437692,31.4142946613654,2.49366011526923
